"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"2","0.5","0.5","1","87","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","88","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","89","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","90","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","91","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","92","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","93","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","94","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","95","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","96","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","97","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","98","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","99","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
"2","0.5","0.5","1","100","0","38","2","0","0","0","27","9","2","2","0","0","0.7105263157894737","0","0.725","0.95"
